house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6044-461,-25.03202417,32.64011175,5/12/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6078-026,-24.48832545,32.09697286,6/29/17,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6078-024,-24.48758442,32.09768053,9/15/15,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-058,-24.90429846,32.36130502,7/20/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-030,-24.56601348,32.66615025,8/3/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-040,-24.89559131,32.35278559,2/22/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-026,-24.48815809,32.09720164,3/29/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6045-003,-25.0325614,32.61019885,11/16/17,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6011-030,-24.56599546,32.6661003,9/10/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-072,-24.80407562,32.85210788,1/17/18,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6044-460,-25.03312225,32.6408682,7/10/15,2,1,1,3,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-053,-24.90381259,32.36264904,1/20/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6072-021,-25.15719107,32.48928789,3/29/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6045-353,-25.03735572,32.61478283,12/8/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6080-046,-24.49785972,32.10803103,11/29/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6044-487,-25.0310454,32.64218463,12/17/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6079-043,-24.48697304,32.07364755,10/19/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-122,-25.14720626,32.49575386,7/21/16,2,1,1,2,0,0,2,0,0,NA,2,29,0,0,0,0,0,0,8
6018-040,-24.89581479,32.35259698,10/26/16,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6072-043,-25.17880581,32.48226417,5/22/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,1,1,0,0,0,0,0
6080-046,-24.49782861,32.10776457,8/22/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6072-131,-25.14915074,32.49110536,11/27/15,2,1,1,2,0,0,2,0,0,NA,2,2,0,0,0,0,0,0,0
